Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"05.02.2019 14:50"
Zeitbezug:;MEZ
Messstellen-Name:;"Tiefste Stelle"
Messstellen-Nr.:;2109
Gewässer:;"Tachinger See"
"Rechtswert:  4555780.00";"Hochwert:  5314880.00";"EPSG 31468"

Datum;"Chloroph [µg/l] (-7.0 m ü. Grund)";"NO3-N [mg/l] (-1.0 m ü. Grund)";"SiO2 [mg/l] (-1.0 m ü. Grund)";"P-ges. [mg/l] (-1.0 m ü. Grund)";"O2-gelöst [mg/l] (-1.0 m ü. Grund)";"NH4-N [mg/l] (-1.0 m ü. Grund)";"pH-Wert (vor Ort) [-] (-1.0 m ü. Grund)";"o-PO4-P [mg/l] (-1.0 m ü. Grund)";"Wassertemp.(vor Ort) [°C] (-1.0 m ü. Grund)";"LF (20 °C) vor Ort [µS/cm] (-1.0 m ü. Grund)";"TOC [mg/l] (-1.0 m ü. Grund)";"KB 8,2 [mmol/l] (-1.0 m ü. Grund)";"KS 4,3 [mmol/l] (-1.0 m ü. Grund)";"Chloroph [µg/l] (-1.0 m ü. Grund)";"SPAK 254 nm [1/m] (-1.0 m ü. Grund)";"N-ges. [mg/l] (-1.0 m ü. Grund)";"P-ges. gelöst [mg/l] (-1.0 m ü. Grund)";"SO4 [mg/l] (-1.0 m ü. Grund)";"Chlorid [mg/l] (-1.0 m ü. Grund)";"NO3-N [mg/l] (0.0 m Tiefe)";"SiO2 [mg/l] (0.0 m Tiefe)";"P-ges. [mg/l] (0.0 m Tiefe)";"O2-gelöst [mg/l] (0.0 m Tiefe)";"NH4-N [mg/l] (0.0 m Tiefe)";"Sichttiefe [cm] (0.0 m Tiefe)";"pH-Wert (vor Ort) [-] (0.0 m Tiefe)";"o-PO4-P [mg/l] (0.0 m Tiefe)";"Chloroph [µg/l] (0.0 m Tiefe)";"Wassertemp.(vor Ort) [°C] (0.0 m Tiefe)";"LF (20 °C) vor Ort [µS/cm] (0.0 m Tiefe)";"TOC [mg/l] (0.0 m Tiefe)";"KB 8,2 [mmol/l] (0.0 m Tiefe)";"KS 4,3 [mmol/l] (0.0 m Tiefe)";"SPAK 254 nm [1/m] (0.0 m Tiefe)";"N-ges. [mg/l] (0.0 m Tiefe)";"P-ges. gelöst [mg/l] (0.0 m Tiefe)";"SO4 [mg/l] (0.0 m Tiefe)";"Chlorid [mg/l] (0.0 m Tiefe)";"NO3-N [mg/l] (2.0 m Tiefe)";"SiO2 [mg/l] (2.0 m Tiefe)";"P-ges. [mg/l] (2.0 m Tiefe)";"O2-gelöst [mg/l] (2.0 m Tiefe)";"NH4-N [mg/l] (2.0 m Tiefe)";"pH-Wert (vor Ort) [-] (2.0 m Tiefe)";"o-PO4-P [mg/l] (2.0 m Tiefe)";"Wassertemp.(vor Ort) [°C] (2.0 m Tiefe)";"LF (20 °C) vor Ort [µS/cm] (2.0 m Tiefe)";"TOC [mg/l] (2.0 m Tiefe)";"KB 8,2 [mmol/l] (2.0 m Tiefe)";"KS 4,3 [mmol/l] (2.0 m Tiefe)";"Chloroph [µg/l] (2.0 m Tiefe)";"SPAK 254 nm [1/m] (2.0 m Tiefe)";"N-ges. [mg/l] (2.0 m Tiefe)";"P-ges. gelöst [mg/l] (2.0 m Tiefe)";"SO4 [mg/l] (2.0 m Tiefe)";"Chlorid [mg/l] (2.0 m Tiefe)";"NO3-N [mg/l] (4.0 m Tiefe)";"SiO2 [mg/l] (4.0 m Tiefe)";"P-ges. [mg/l] (4.0 m Tiefe)";"O2-gelöst [mg/l] (4.0 m Tiefe)";"NH4-N [mg/l] (4.0 m Tiefe)";"pH-Wert (vor Ort) [-] (4.0 m Tiefe)";"o-PO4-P [mg/l] (4.0 m Tiefe)";"Wassertemp.(vor Ort) [°C] (4.0 m Tiefe)";"LF (20 °C) vor Ort [µS/cm] (4.0 m Tiefe)";"TOC [mg/l] (4.0 m Tiefe)";"KB 8,2 [mmol/l] (4.0 m Tiefe)";"KS 4,3 [mmol/l] (4.0 m Tiefe)";"Chloroph [µg/l] (4.0 m Tiefe)";"SPAK 254 nm [1/m] (4.0 m Tiefe)";"N-ges. [mg/l] (4.0 m Tiefe)";"P-ges. gelöst [mg/l] (4.0 m Tiefe)";"SO4 [mg/l] (4.0 m Tiefe)";"Chlorid [mg/l] (4.0 m Tiefe)";"NO3-N [mg/l] (6.0 m Tiefe)";"SiO2 [mg/l] (6.0 m Tiefe)";"P-ges. [mg/l] (6.0 m Tiefe)";"O2-gelöst [mg/l] (6.0 m Tiefe)";"NH4-N [mg/l] (6.0 m Tiefe)";"pH-Wert (vor Ort) [-] (6.0 m Tiefe)";"o-PO4-P [mg/l] (6.0 m Tiefe)";"Wassertemp.(vor Ort) [°C] (6.0 m Tiefe)";"LF (20 °C) vor Ort [µS/cm] (6.0 m Tiefe)";"TOC [mg/l] (6.0 m Tiefe)";"KB 8,2 [mmol/l] (6.0 m Tiefe)";"KS 4,3 [mmol/l] (6.0 m Tiefe)";"Chloroph [µg/l] (6.0 m Tiefe)";"SPAK 254 nm [1/m] (6.0 m Tiefe)";"N-ges. [mg/l] (6.0 m Tiefe)";"P-ges. gelöst [mg/l] (6.0 m Tiefe)";"SO4 [mg/l] (6.0 m Tiefe)";"Chlorid [mg/l] (6.0 m Tiefe)";"NO3-N [mg/l] (8.0 m Tiefe)";"SiO2 [mg/l] (8.0 m Tiefe)";"P-ges. [mg/l] (8.0 m Tiefe)";"O2-gelöst [mg/l] (8.0 m Tiefe)";"NH4-N [mg/l] (8.0 m Tiefe)";"pH-Wert (vor Ort) [-] (8.0 m Tiefe)";"o-PO4-P [mg/l] (8.0 m Tiefe)";"Wassertemp.(vor Ort) [°C] (8.0 m Tiefe)";"LF (20 °C) vor Ort [µS/cm] (8.0 m Tiefe)";"TOC [mg/l] (8.0 m Tiefe)";"KB 8,2 [mmol/l] (8.0 m Tiefe)";"KS 4,3 [mmol/l] (8.0 m Tiefe)";"Chloroph [µg/l] (8.0 m Tiefe)";"SPAK 254 nm [1/m] (8.0 m Tiefe)";"N-ges. [mg/l] (8.0 m Tiefe)";"P-ges. gelöst [mg/l] (8.0 m Tiefe)";"SO4 [mg/l] (8.0 m Tiefe)";"Chlorid [mg/l] (8.0 m Tiefe)";"NO3-N [mg/l] (10.0 m Tiefe)";"SiO2 [mg/l] (10.0 m Tiefe)";"P-ges. [mg/l] (10.0 m Tiefe)";"O2-gelöst [mg/l] (10.0 m Tiefe)";"NH4-N [mg/l] (10.0 m Tiefe)";"pH-Wert (vor Ort) [-] (10.0 m Tiefe)";"o-PO4-P [mg/l] (10.0 m Tiefe)";"Wassertemp.(vor Ort) [°C] (10.0 m Tiefe)";"LF (20 °C) vor Ort [µS/cm] (10.0 m Tiefe)";"TOC [mg/l] (10.0 m Tiefe)";"KB 8,2 [mmol/l] (10.0 m Tiefe)";"KS 4,3 [mmol/l] (10.0 m Tiefe)";"Chloroph [µg/l] (10.0 m Tiefe)";"SPAK 254 nm [1/m] (10.0 m Tiefe)";"N-ges. [mg/l] (10.0 m Tiefe)";"P-ges. gelöst [mg/l] (10.0 m Tiefe)";"SO4 [mg/l] (10.0 m Tiefe)";"Chlorid [mg/l] (10.0 m Tiefe)";"NO3-N [mg/l] (12.0 m Tiefe)";"SiO2 [mg/l] (12.0 m Tiefe)";"P-ges. [mg/l] (12.0 m Tiefe)";"O2-gelöst [mg/l] (12.0 m Tiefe)";"NH4-N [mg/l] (12.0 m Tiefe)";"pH-Wert (vor Ort) [-] (12.0 m Tiefe)";"o-PO4-P [mg/l] (12.0 m Tiefe)";"Wassertemp.(vor Ort) [°C] (12.0 m Tiefe)";"LF (20 °C) vor Ort [µS/cm] (12.0 m Tiefe)";"TOC [mg/l] (12.0 m Tiefe)";"KB 8,2 [mmol/l] (12.0 m Tiefe)";"KS 4,3 [mmol/l] (12.0 m Tiefe)";"Chloroph [µg/l] (12.0 m Tiefe)";"SPAK 254 nm [1/m] (12.0 m Tiefe)";"N-ges. [mg/l] (12.0 m Tiefe)";"P-ges. gelöst [mg/l] (12.0 m Tiefe)";"SO4 [mg/l] (12.0 m Tiefe)";"Chlorid [mg/l] (12.0 m Tiefe)";Prüfstatus
"2006-08-08 00:00:00";4,00;0;16,00;0,034;0;1,1;7,4;0;7,1;460,00;4,9;0,33;5,03;0;6,1;1,2;0;13,00;10,00;1,8;5,2;0,006;10,00;0,05;290,00;8,2;0;2,00;19,6;380,00;3,4;0;3,82;4,7;1,5;0;13,00;10,00;1,7;5,2;0,005;10,1;0,05;8,2;0;19,6;380,00;4,8;0;3,83;3,00;4,6;1,4;0;13,00;10,00;1,8;5,2;0,007;10,1;0,05;8,2;0;19,4;380,00;4,2;0;3,83;3,00;4,7;1,5;0;13,00;10,00;1,7;5,3;0,009;14,4;0,06;8,00;0;17,5;420,00;4,5;0;3,86;3,00;4,9;1,5;0;13,00;10,00;0,8;9,5;0,01;2,3;0,3;7,6;0;10,4;460,00;4,2;0,19;4,73;4,00;5,9;1,1;0;14,00;10,00;0,3;12,00;0,022;0;0,66;7,5;0;7,7;470,00;4,3;0,3;4,96;3,00;5,9;1,2;0;13,00;10,00;0,3;14,00;0,02;0;0,68;7,5;0;7,2;470,00;4,9;0,29;4,95;3,00;5,9;1,2;0,005;13,00;10,00;Geprueft
"2006-09-05 00:00:00";3,00;0;16,00;0,04;0;1,5;7,1;0;7,3;440,00;4,4;0,37;5,2;0;7,3;1,5;0,006;8,00;11,00;1,8;5,4;0,008;9,9;0,02;180,00;8,2;0;4,00;19,3;380,00;3,7;0;3,81;4,8;1,2;0;13,00;10,00;1,7;5,4;0,01;10,00;0,02;8,2;0;19,3;380,00;3,9;0;3,82;4,00;4,8;1,00;0;13,00;10,00;1,8;5,5;0,009;10,4;0,03;8,2;0;17,7;380,00;3,6;0;3,84;5,00;5,00;1,3;0;13,00;10,00;1,7;5,7;0,009;9,7;0,04;8,1;0;16,9;390,00;3,5;0;3,96;5,00;4,9;1,2;0;13,00;10,00;1,00;9,6;0,01;0,2;0,37;7,5;0;11,5;460,00;3,5;0,24;4,69;3,00;5,8;1,1;0;13,00;10,00;0,07;13,00;0,025;0;0,82;7,5;0;8,2;470,00;3,5;0,29;5,01;3,00;5,9;1,1;0;12,00;10,00;0;15,00;0,044;0;1,2;7,4;0;7,5;480,00;5,4;0,34;5,11;0;6,2;1,2;0;11,00;10,00;Geprueft
"2006-10-04 00:00:00";4,00;0;12,1;0,042;0;2,00;6,9;0,005;7,6;490,00;4,3;0,38;5,34;0;8,5;2,00;0,006;5,1;11,00;1,6;4,00;0,008;10,8;0,02;280,00;8,2;0;5,00;17,9;370,00;3,5;0;3,73;4,9;1,4;0;13,00;10,00;1,7;4,00;0,007;10,8;0,02;8,2;0;17,9;370,00;3,5;0;3,74;5,00;4,9;1,4;0;13,00;10,00;1,7;3,9;0,009;10,8;0,02;8,2;0;17,9;370,00;3,6;0;3,73;5,00;4,9;1,4;0;13,00;10,00;1,7;4,4;0,012;8,2;0,03;7,9;0;17,1;410,00;3,9;0;3,82;6,00;4,9;1,4;0;13,00;10,00;0,8;6,7;0,021;0,8;0,38;7,5;0;12,8;450,00;3,4;0,21;4,58;5,00;5,7;1,2;0;13,00;10,00;0,03;10,6;0,045;0;1,6;7,4;0;8,5;470,00;4,00;0,35;5,21;0;7,2;1,6;0;9,5;11,00;0;12,8;0,039;0;1,8;7,4;0;7,9;480,00;4,4;0,35;5,27;0;7,8;1,7;0;7,00;11,00;Geprueft
"2006-10-31 00:00:00";0;0;17,00;0,035;0;2,5;7,3;0;7,7;490,00;5,2;0,46;5,55;0;8,6;2,7;0;2,4;15,00;1,6;3,9;0,008;9,3;0,08;480,00;8,1;0;3,00;13,8;400,00;3,9;0;4,08;4,5;1,4;0;13,00;10,00;1,6;3,9;0,01;9,3;0,08;8,1;0;13,8;400,00;3,7;0;4,07;3,00;4,4;1,4;0;13,00;10,00;1,6;4,00;0,007;9,2;0,08;8,1;0;13,7;400,00;4,2;0;4,1;3,00;4,4;1,4;0;13,00;10,00;1,6;4,1;0,009;9,2;0,09;8,1;0;13,7;400,00;3,6;0;4,07;3,00;4,4;1,4;0;13,00;10,00;1,5;4,1;0,01;9,00;0,09;8,1;0;13,6;400,00;3,7;0;4,1;3,00;4,5;1,4;0;13,00;10,00;0,06;14,00;0,036;3,9;1,3;7,4;0;10,1;470,00;6,4;0,35;5,08;5,00;5,9;1,5;0;11,00;10,00;0;16,00;0,035;0,6;1,9;7,3;0;8,5;480,00;3,9;0,41;5,37;0;7,5;2,1;0;5,3;12,00;Geprueft
"2006-11-27 00:00:00";2,00;0,06;20,00;0,084;0;3,1;7,1;0,04;7,6;530,00;5,1;0,55;5,57;0;8,6;3,3;0,044;2,4;13,00;1,2;6,6;0,01;7,8;0,36;480,00;7,9;0;2,00;8,5;430,00;3,3;0,08;4,4;5,1;1,4;0;13,00;10,00;1,2;7,00;0,011;7,5;0,36;7,9;0;8,5;420,00;3,2;0,07;4,39;2,00;5,1;1,4;0;13,00;10,00;1,3;7,00;0,015;7,3;0,36;7,9;0;8,5;420,00;3,4;0,08;4,39;2,00;5,00;1,3;0;13,00;10,00;1,3;6,9;0,011;7,3;0,36;7,9;0;8,5;420,00;3,2;0,07;4,39;2,00;5,00;1,4;0;13,00;10,00;1,3;6,9;0,013;7,2;0,36;7,9;0;8,5;420,00;3,2;0,08;4,41;2,00;5,1;1,4;0;13,00;10,00;1,3;6,7;0,013;7,2;0,37;7,9;0;8,5;420,00;3,2;0,08;4,4;2,00;5,00;1,3;0;13,00;10,00;1,3;6,7;0,012;7,2;0,38;7,9;0;8,5;420,00;3,1;0,08;4,4;2,00;5,00;1,4;0;13,00;10,00;Geprueft
"2012-01-16 12:30:00";10,00;1,2;7,00;0,015;9,7;0,28;8,1;0;3,7;447,00;;;;;;1,7;;;10,00;1,2;6,7;0,016;11,3;0,3;350,00;8,1;0;;3,2;437,00;;;;;1,8;;;10,00;1,2;6,8;0,017;11,2;0,3;8,1;0;3,3;436,00;;;;;;1,7;;;10,00;1,2;6,8;0,021;11,1;0,31;8,1;0;3,3;437,00;;;;;;1,7;;;10,00;1,2;6,9;0,026;11,00;0,3;8,1;0;3,3;436,00;;;;;;1,7;;;10,00;1,2;6,9;0,016;11,00;0,29;8,1;0;3,3;436,00;;;;;;1,8;;;10,00;1,2;6,9;0,015;10,9;0,29;8,1;0;3,3;437,00;;;;;;1,7;;;10,00;1,2;7,00;0,018;11,00;0,29;8,1;0;3,3;437,00;;;;;;1,7;;;10,00;Geprueft
"2012-03-12 11:30:00";16,00;1,2;9,7;0,023;1,3;0,64;7,3;0;4,4;420,00;;;;;;1,9;;;11,00;1,5;5,2;0,018;11,8;0,1;225,00;8,2;0;;5,2;441,00;;;;;1,6;;;11,00;1,4;5,2;0,034;12,5;0,11;8,3;0;5,1;442,00;;;;;;1,6;;;11,00;1,4;5,2;0,022;12,4;0,1;8,2;0;5,00;445,00;;;;;;1,7;;;10,00;1,5;5,1;0,024;12,1;0,1;8,2;0;4,9;445,00;;;;;;1,6;;;10,00;1,4;5,2;0,02;12,3;0,11;8,2;0;4,9;446,00;;;;;;1,6;;;10,00;1,5;5,2;0,019;12,3;0,11;8,2;0;5,00;446,00;;;;;;1,6;;;10,00;1,5;5,2;0,018;7,7;0,11;7,9;0;4,5;472,00;;;;;;1,6;;;11,00;Geprueft
"2012-04-23 11:30:00";7,00;0,84;7,1;0,021;2,9;0,51;7,8;0;5,7;445,00;;;;;;1,7;;;10,00;1,6;2,4;0,011;10,9;0,02;245,00;8,5;0;;11,00;428,00;;;;;1,7;;;10,00;1,6;2,3;0,012;11,1;0,02;8,5;0;10,3;428,00;;;;;;1,7;;;11,00;1,3;2,4;0,016;11,1;0,02;8,5;0;10,1;429,00;;;;;;1,7;;;10,00;1,4;2,7;0,015;11,00;0,03;8,4;0;8,8;437,00;;;;;;1,8;;;11,00;1,3;4,2;0,024;8,4;0,13;8,2;0;7,7;444,00;;;;;;1,7;;;11,00;1,2;4,9;0,017;5,9;0,2;8,00;0;6,5;452,00;;;;;;1,7;;;10,00;0,98;6,2;0,019;3,7;0,37;7,9;0;5,8;458,00;;;;;;1,6;;;11,00;Geprueft
"2012-05-21 12:30:00";11,00;0,32;8,3;0,024;;0,75;7,6;0;6,5;442,00;;;;;;1,6;;;10,00;1,6;1,2;0,012;11,3;0,01;260,00;8,2;0;;17,3;389,00;;;;;1,7;;;10,00;1,6;1,1;0,011;11,8;0;8,2;0;16,7;389,00;;;;;;1,7;;;11,00;1,6;1,2;0,01;11,8;0;8,2;0;14,4;396,00;;;;;;1,8;;;10,00;1,6;1,2;0,021;16,4;0;8,3;0;10,7;402,00;;;;;;1,8;;;11,00;1,2;4,9;0,033;14,5;0,18;7,9;0;8,2;430,00;;;;;;1,5;;;11,00;0,84;7,00;0,027;5,2;0,53;7,6;0;6,9;438,00;;;;;;1,6;;;10,00;0,76;7,6;0,031;1,5;0,64;7,6;0;6,5;442,00;;;;;;1,6;;;11,00;Geprueft
"2012-06-18 11:40:00";7,00;0,02;9,2;0,034;0;0,97;7,2;0;6,8;445,00;;;;;;1,7;;;11,00;1,4;1,4;0,01;11,1;0;285,00;8,4;0;;23,8;362,00;;;;;1,7;;;10,00;1,4;1,3;0,012;12,5;0;8,4;0;19,5;361,00;;;;;;1,7;;;10,00;1,3;1,3;0,012;13,00;0;8,4;0;18,1;364,00;;;;;;1,7;;;10,00;1,3;2,2;0,02;14,9;0;8,2;0;15,4;400,00;;;;;;1,9;;;10,00;1,1;3,4;0,02;12,4;0,07;7,7;0;9,8;424,00;;;;;;1,6;;;10,00;0,33;7,7;0,025;1,00;0,57;7,6;0;7,8;438,00;;;;;;1,5;;;11,00;0,05;8,6;0,026;0,7;0,78;7,5;0;7,00;441,00;;;;;;1,5;;;10,00;Geprueft
"2012-07-16 13:23:00";10,00;0;10,00;0,041;0;1,4;7,5;0;7,4;448,00;;;;;;2,00;;;11,00;1,4;1,9;0,01;10,7;0;450,00;8,4;0;;20,8;358,00;;;;;1,6;;;10,00;1,4;1,9;0,009;10,8;0;8,4;0;20,8;357,00;;;;;;1,6;;;10,00;1,4;1,9;0,01;10,8;0;8,4;0;20,8;356,00;;;;;;1,6;;;10,00;1,2;2,6;0,014;15,4;0,02;8,2;0;15,6;400,00;;;;;;1,5;;;10,00;0,74;5,5;0,024;2,7;0,13;7,7;0;10,00;430,00;;;;;;1,3;;;10,00;0,1;8,3;0,035;0;0,64;7,5;0;7,9;443,00;;;;;;1,4;;;11,00;0,02;9,6;0,036;0;0,97;7,5;0;7,6;447,00;;;;;;1,6;;;11,00;Geprueft
"2012-08-22 12:00:00";19,00;0;12,00;0,053;0;1,9;7,4;0;7,7;463,00;;;;;;2,7;;;11,00;1,3;2,2;0,007;9,1;0;455,00;8,1;0;;25,2;348,00;;;;;1,5;;;10,00;1,3;2,1;0,007;10,00;0;8,3;0;24,00;348,00;;;;;;1,5;;;10,00;1,4;2,3;0,009;11,8;0;8,3;0;22,6;359,00;;;;;;1,6;;;11,00;1,3;3,5;0,011;;0;8,2;0;18,6;400,00;;;;;;1,5;;;13,00;0,73;5,7;0,022;0,8;0,01;7,6;0;11,1;439,00;;;;;;0,9;;;10,00;0,49;5,8;0,028;0;0,27;7,4;0;8,2;457,00;;;;;;1,6;;;10,00;0,02;11,00;0,049;0;1,6;7,3;0;7,8;462,00;;;;;;2,4;;;11,00;Geprueft
"2012-09-10 12:30:00";17,00;0;13,00;0,05;0;2,2;7,2;0;7,7;486,00;;;;21,00;;3,5;;;12,00;1,3;2,8;0,007;9,8;0,01;370,00;8,3;0;3,00;21,4;354,00;;;;;1,6;;;10,00;1,3;2,8;0,008;10,00;0;8,3;0;20,9;354,00;;;;3,00;;1,6;;;10,00;1,3;2,8;0,01;10,00;0;8,3;0;20,6;353,00;;;;3,00;;1,6;;;11,00;1,4;4,00;0,014;13,3;0,01;8,1;0;18,7;397,00;;;;5,00;;1,7;;;10,00;0,85;4,8;0,015;11,5;0;8,00;0;13,9;423,00;;;;5,00;;1,2;;;10,00;0,05;9,5;0,057;0,7;0,25;7,5;0;8,9;456,00;;;;92,00;;1,7;;;11,00;0;12,00;0,047;0,2;1,6;7,4;0;8,1;469,00;;;;35,00;;2,7;;;12,00;Geprueft
"2012-10-15 09:30:00";13,00;0;16,00;0,047;0;3,2;7,3;0;8,1;490,00;;;;22,00;;4,00;;;11,00;1,1;1,4;0,014;9,4;0,04;350,00;7,2;0;5,00;15,1;373,00;;;;;1,3;;;10,00;1,00;1,3;0,02;9,4;0,04;8,00;0;15,1;372,00;;;;5,00;;1,3;;;10,00;1,1;1,4;0,017;9,3;0,04;8,1;0;15,1;371,00;;;;5,00;;1,3;;;10,00;1,2;1,4;0,024;9,3;0,04;8,1;0;15,1;372,00;;;;5,00;;1,3;;;10,00;1,1;2,1;0,023;4,4;0,07;7,8;0;14,6;410,00;;;;4,00;;1,3;;;10,00;0,06;9,5;0,039;0;0,36;7,5;0;9,9;466,00;;;;26,00;;1,00;;;11,00;0;9,4;0,046;0;2,5;7,3;0;8,6;482,00;;;;29,00;;3,2;;;12,00;Geprueft
