Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"05.02.2019 14:50"
Zeitbezug:;MEZ
Messstellen-Name:;"vor Staumauer, tiefste Stelle"
Messstellen-Nr.:;110532
Gewässer:;Drachensee
"Rechtswert:  4563199.00";"Hochwert:  5464841.00";"EPSG 31468"

Datum;"Chloroph [µg/l] (-7.0 m ü. Grund)";"Phaeopig [µg/l] (-7.0 m ü. Grund)";"NO3-N [mg/l] (-1.0 m ü. Grund)";"TOC [mg/l] (-1.0 m ü. Grund)";"SiO2 [mg/l] (-1.0 m ü. Grund)";"P-ges. [mg/l] (-1.0 m ü. Grund)";"O2-gelöst [mg/l] (-1.0 m ü. Grund)";"KB 8,2 [mmol/l] (-1.0 m ü. Grund)";"NH4-N [mg/l] (-1.0 m ü. Grund)";"Sichttiefe [cm] (-1.0 m ü. Grund)";"pH-Wert (vor Ort) [-] (-1.0 m ü. Grund)";"o-PO4-P [mg/l] (-1.0 m ü. Grund)";"KS 4,3 [mmol/l] (-1.0 m ü. Grund)";"Wassertemp.(vor Ort) [°C] (-1.0 m ü. Grund)";"SPAK 254 nm [1/m] (-1.0 m ü. Grund)";"N-ges. [mg/l] (-1.0 m ü. Grund)";"O2-Sättigungsindex [%] (-1.0 m ü. Grund)";"LF (20 °C) vor Ort [µS/cm] (-1.0 m ü. Grund)";"P-ges. gelöst [mg/l] (-1.0 m ü. Grund)";"SO4 [mg/l] (-1.0 m ü. Grund)";"Chlorid [mg/l] (-1.0 m ü. Grund)";"Na gelöst [mg/l] (-1.0 m ü. Grund)";"K gelöst [mg/l] (-1.0 m ü. Grund)";"Mn gelöst [mg/l] (-1.0 m ü. Grund)";"Fe gelöst [mg/l] (-1.0 m ü. Grund)";"Ca gelöst [mg/l] (-1.0 m ü. Grund)";"Mg gelöst [mg/l] (-1.0 m ü. Grund)";"NO3-N [mg/l] (0.0 m Tiefe)";"TOC [mg/l] (0.0 m Tiefe)";"P-ges. [mg/l] (0.0 m Tiefe)";"O2-gelöst [mg/l] (0.0 m Tiefe)";"NH4-N [mg/l] (0.0 m Tiefe)";"pH-Wert (vor Ort) [-] (0.0 m Tiefe)";"o-PO4-P [mg/l] (0.0 m Tiefe)";"Wassertemp.(vor Ort) [°C] (0.0 m Tiefe)";"O2-Sättigungsindex [%] (0.0 m Tiefe)";"LF (20 °C) vor Ort [µS/cm] (0.0 m Tiefe)";"Chloroph [µg/l] (0.0 m Tiefe)";"SiO2 [mg/l] (0.0 m Tiefe)";"KB 8,2 [mmol/l] (0.0 m Tiefe)";"KS 4,3 [mmol/l] (0.0 m Tiefe)";"SPAK 254 nm [1/m] (0.0 m Tiefe)";"N-ges. [mg/l] (0.0 m Tiefe)";"P-ges. gelöst [mg/l] (0.0 m Tiefe)";"SO4 [mg/l] (0.0 m Tiefe)";"Chlorid [mg/l] (0.0 m Tiefe)";"Sichttiefe [cm] (0.0 m Tiefe)";"Na gelöst [mg/l] (0.0 m Tiefe)";"K gelöst [mg/l] (0.0 m Tiefe)";"Mn gelöst [mg/l] (0.0 m Tiefe)";"Fe gelöst [mg/l] (0.0 m Tiefe)";"Ca gelöst [mg/l] (0.0 m Tiefe)";"Mg gelöst [mg/l] (0.0 m Tiefe)";"NO3-N [mg/l] (2.0 m Tiefe)";"TOC [mg/l] (2.0 m Tiefe)";"SiO2 [mg/l] (2.0 m Tiefe)";"P-ges. [mg/l] (2.0 m Tiefe)";"O2-gelöst [mg/l] (2.0 m Tiefe)";"KB 8,2 [mmol/l] (2.0 m Tiefe)";"NH4-N [mg/l] (2.0 m Tiefe)";"pH-Wert (vor Ort) [-] (2.0 m Tiefe)";"o-PO4-P [mg/l] (2.0 m Tiefe)";"KS 4,3 [mmol/l] (2.0 m Tiefe)";"Wassertemp.(vor Ort) [°C] (2.0 m Tiefe)";"SPAK 254 nm [1/m] (2.0 m Tiefe)";"N-ges. [mg/l] (2.0 m Tiefe)";"O2-Sättigungsindex [%] (2.0 m Tiefe)";"LF (20 °C) vor Ort [µS/cm] (2.0 m Tiefe)";"P-ges. gelöst [mg/l] (2.0 m Tiefe)";"SO4 [mg/l] (2.0 m Tiefe)";"Chlorid [mg/l] (2.0 m Tiefe)";"Na gelöst [mg/l] (2.0 m Tiefe)";"K gelöst [mg/l] (2.0 m Tiefe)";"Mn gelöst [mg/l] (2.0 m Tiefe)";"Fe gelöst [mg/l] (2.0 m Tiefe)";"Ca gelöst [mg/l] (2.0 m Tiefe)";"Mg gelöst [mg/l] (2.0 m Tiefe)";"NO3-N [mg/l] (3.0 m Tiefe)";"TOC [mg/l] (3.0 m Tiefe)";"SiO2 [mg/l] (3.0 m Tiefe)";"P-ges. [mg/l] (3.0 m Tiefe)";"O2-gelöst [mg/l] (3.0 m Tiefe)";"KB 8,2 [mmol/l] (3.0 m Tiefe)";"NH4-N [mg/l] (3.0 m Tiefe)";"pH-Wert (vor Ort) [-] (3.0 m Tiefe)";"o-PO4-P [mg/l] (3.0 m Tiefe)";"KS 4,3 [mmol/l] (3.0 m Tiefe)";"Wassertemp.(vor Ort) [°C] (3.0 m Tiefe)";"SPAK 254 nm [1/m] (3.0 m Tiefe)";"N-ges. [mg/l] (3.0 m Tiefe)";"O2-Sättigungsindex [%] (3.0 m Tiefe)";"LF (20 °C) vor Ort [µS/cm] (3.0 m Tiefe)";"SO4 [mg/l] (3.0 m Tiefe)";"Chlorid [mg/l] (3.0 m Tiefe)";"P-ges. gelöst [mg/l] (3.0 m Tiefe)";"NO3-N [mg/l] (4.0 m Tiefe)";"TOC [mg/l] (4.0 m Tiefe)";"SiO2 [mg/l] (4.0 m Tiefe)";"P-ges. [mg/l] (4.0 m Tiefe)";"O2-gelöst [mg/l] (4.0 m Tiefe)";"KB 8,2 [mmol/l] (4.0 m Tiefe)";"NH4-N [mg/l] (4.0 m Tiefe)";"pH-Wert (vor Ort) [-] (4.0 m Tiefe)";"o-PO4-P [mg/l] (4.0 m Tiefe)";"KS 4,3 [mmol/l] (4.0 m Tiefe)";"Wassertemp.(vor Ort) [°C] (4.0 m Tiefe)";"SPAK 254 nm [1/m] (4.0 m Tiefe)";"N-ges. [mg/l] (4.0 m Tiefe)";"O2-Sättigungsindex [%] (4.0 m Tiefe)";"LF (20 °C) vor Ort [µS/cm] (4.0 m Tiefe)";"P-ges. gelöst [mg/l] (4.0 m Tiefe)";"SO4 [mg/l] (4.0 m Tiefe)";"Chlorid [mg/l] (4.0 m Tiefe)";"Na gelöst [mg/l] (4.0 m Tiefe)";"K gelöst [mg/l] (4.0 m Tiefe)";"Mn gelöst [mg/l] (4.0 m Tiefe)";"Fe gelöst [mg/l] (4.0 m Tiefe)";"Ca gelöst [mg/l] (4.0 m Tiefe)";"Mg gelöst [mg/l] (4.0 m Tiefe)";Prüfstatus
"2007-07-09 11:15:00";;;;;;;;;;;;;;;;;;;;;;;;;;;;1,4;10,00;0,13;10,6;0,04;7,8;0,017;18,00;118,00;188,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Geprueft
"2007-07-24 12:20:00";;;;;;;;;;;;;;;;;;;;;;;;;;;;2,00;10,00;0,19;3,1;0,15;6,9;0,11;21,8;37,00;184,00;3,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Geprueft
"2007-08-06 12:20:00";;;;;;;;;;;;;;;;;;;;;;;;;;;;0,6;9,5;0,078;9,9;0,07;7,8;0,017;23,8;122,00;199,00;11,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Geprueft
"2007-08-20 11:20:00";;;;;;;;;;;;;;;;;;;;;;;;;;;;0,8;7,00;0,071;4,5;0,14;7,1;0,033;19,9;51,00;224,00;7,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Geprueft
"2007-09-05 11:30:00";;;;;;;;;;;;;;;;;;;;;;;;;;;;0,6;6,1;0,059;3,9;0,2;7,1;0,022;16,00;41,00;233,00;5,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Geprueft
"2007-09-19 12:45:00";;;;;;;;;;;;;;;;;;;;;;;;;;;;1,7;5,6;0,082;5,8;0,08;7,5;0,037;15,5;62,00;223,00;5,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Geprueft
"2007-10-01 12:10:00";;;;;;;;;;;;;;;;;;;;;;;;;;;;2,00;9,5;0,15;7,9;0,08;7,4;0,045;13,6;77,00;179,00;7,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Geprueft
"2010-03-30 10:50:00";4,00;;2,5;7,9;19,00;0,11;2,4;0,55;0,55;90,00;6,4;0;1,1;6,8;13,00;3,1;21,00;309,00;0,012;17,00;41,00;;;;;;;3,3;6,3;0,066;9,1;0,07;7,1;0,011;8,4;84,00;186,00;;15,00;0,12;0,63;15,00;3,4;0,029;16,00;17,00;;;;;;;;3,2;7,6;15,00;0,071;9,2;0,12;0,12;7,1;0,01;0,63;8,4;16,00;3,6;84,00;187,00;0,02;16,00;17,00;;;;;;;;;;;;;;;;;;;;;;;;;3,2;7,3;15,00;0,07;9,2;0,12;0,13;7,00;0,011;0,63;8,4;15,00;3,6;83,00;187,00;0,022;16,00;17,00;;;;;;;Geprueft
"2010-04-13 09:50:00";23,00;;2,5;6,1;16,00;0,046;7,7;0,12;0,06;;6,9;0;0,76;8,7;12,00;2,8;71,00;177,00;;17,00;17,00;;;;;;;2,6;5,7;0,05;9,5;0,02;7,4;0,005;9,1;88,00;199,00;;16,00;0,06;0,74;12,00;3,2;;17,00;17,00;130,00;;;;;;;2,5;6,6;16,00;0,045;9,5;0,07;0,05;7,3;0;0,74;9,00;12,00;3,1;89,00;195,00;;17,00;18,00;;;;;;;;;;;;;;;;;;;;;;;;;2,6;6,2;16,00;0,048;6,7;0,1;0,04;7,00;0;0,75;8,8;12,00;3,00;63,00;177,00;;17,00;17,00;;;;;;;Geprueft
"2010-05-11 00:00:00";4,00;;2,1;5,8;20,00;0,039;5,3;0,15;0,14;;7,00;0,015;1,08;11,8;12,00;2,5;54,00;208,00;;19,00;18,00;;;;;;;2,00;5,7;0,029;8,1;0,08;7,5;0,007;14,1;82,00;204,00;;17,00;0,08;1,07;11,00;2,5;;19,00;16,00;360,00;;;;;;;2,00;6,6;17,00;0,033;7,4;0,08;0,09;7,5;0;1,08;14,1;11,00;2,5;76,00;206,00;;19,00;19,00;;;;;;;;;;;;;;;;;;;;;;;;;2,1;5,6;18,00;0,035;6,4;0,11;0,12;7,2;0,013;1,08;12,4;12,00;2,5;67,00;207,00;;19,00;18,00;;;;;;;Geprueft
"2010-06-09 00:00:00";8,00;;3,1;13,00;15,00;0,1;5,9;0,22;0,17;;6,6;0,055;1,04;14,4;36,00;3,5;62,00;186,00;;15,00;12,00;;;;;;;2,9;10,00;0,058;14,00;0,03;8,1;0;23,2;172,00;182,00;;15,00;0;1,00;28,00;3,4;;15,00;12,00;150,00;;;;;;;3,2;14,00;16,00;0,082;9,7;0,11;0,13;7,2;0,019;0,99;19,00;31,00;3,8;112,00;183,00;;15,00;12,00;;;;;;;;;;;;;;;;;;;;;;;;;3,2;14,00;14,00;0,13;8,00;0,19;0,16;6,7;0,043;0,97;15,2;41,00;3,9;86,00;170,00;;13,00;10,00;;;;;;;Geprueft
"2010-07-06 00:00:00";15,00;;1,00;10,00;18,00;0,054;2,6;0,32;0,4;;6,6;0;1,32;16,1;25,9;2,2;28,00;198,00;;15,00;12,00;;;;;;;1,1;12,00;0,11;14,7;0,07;9,3;0;24,5;183,00;201,00;;19,00;;1,28;17,8;2,3;;18,00;15,00;90,00;;;;;;;1,4;11,00;21,00;0,096;5,00;0,15;0,15;7,1;0;1,35;21,3;14,9;2,6;58,00;217,00;;20,00;15,00;;;;;;;1,3;8,4;20,00;0,045;3,00;0,28;0,08;6,8;0;1,32;18,9;16,1;2,3;34,00;223,00;18,00;14,00;;1,4;9,4;19,00;0,048;3,3;0,24;0,09;6,7;0;1,24;17,2;19,7;2,4;36,00;202,00;;17,00;15,00;;;;;;;Geprueft
"2010-08-03 11:00:00";47,00;;0;12,00;20,00;0,25;2,8;0,57;1,4;;6,8;0,09;1,97;16,00;33,00;2,6;30,00;251,00;0,059;7,8;15,00;;;;;;;0,3;11,00;0,11;12,00;0,05;9,4;0,009;20,5;139,00;206,00;;21,00;;1,42;18,00;2,00;0,033;18,00;16,00;70,00;;;;;;;0,6;9,5;21,00;0,1;3,5;0,11;0,17;7,3;0;1,42;18,5;18,00;2,1;40,00;216,00;0,018;18,00;16,00;;;;;;;0,6;12,00;21,00;0,084;2,5;0,18;0,3;7,00;0;1,43;18,1;18,00;2,1;27,00;217,00;18,00;16,00;0,016;0,5;11,00;21,00;0,092;2,8;0,2;0,35;6,9;0;1,53;18,2;18,00;1,9;32,00;221,00;0,016;17,00;16,00;;;;;;;Geprueft
"2010-08-31 10:30:00";25,00;;0;19,00;14,00;0,71;2,9;0,87;4,5;;6,7;0,12;2,4;14,1;55,6;4,6;29,00;267,00;0,09;6,00;11,00;;;;;;;1,3;12,00;0,1;7,2;0,19;7,00;0,006;16,4;76,00;186,00;;21,00;0,09;1,17;26,00;2,4;0,022;16,00;12,00;80,00;;;;;;;1,4;13,00;22,00;0,1;6,7;0,16;0,36;6,9;0,007;1,2;15,9;26,9;2,4;71,00;181,00;0,022;16,00;12,00;;;;;;;1,5;11,00;21,00;0,11;7,4;0,16;0,36;7,00;0,009;1,21;15,4;26,1;2,4;77,00;191,00;16,00;13,00;0,024;1,5;11,00;22,00;0,11;7,2;0,16;0,36;7,00;0,009;1,21;15,1;25,7;2,5;76,00;192,00;0,028;16,00;12,00;;;;;;;Geprueft
"2010-10-11 10:00:00";25,00;;1,4;8,2;20,00;0,086;10,00;0,11;0,06;;7,7;0,01;1,26;11,3;12,8;2,4;96,00;209,00;0,019;21,00;16,00;;;;;;;1,8;7,5;0,062;11,1;0,03;7,9;0,007;11,5;106,00;209,00;;20,00;0,09;1,24;12,7;2,2;0,022;21,00;16,00;110,00;;;;;;;1,6;8,3;20,00;0,067;10,4;0,1;0,05;7,7;0,006;1,26;11,2;12,8;2,3;100,00;209,00;0,019;21,00;15,00;;;;;;;1,5;8,9;19,00;0,07;10,5;0,1;0,06;7,8;0;1,26;11,2;12,8;2,3;100,00;209,00;22,00;15,00;0,017;1,5;8,5;20,00;0,069;10,3;0,1;0,05;7,7;0;1,25;11,3;12,8;2,3;98,00;209,00;0,019;21,00;15,00;;;;;;;Geprueft
"2010-10-26 11:00:00";4,00;;1,8;6,1;22,00;0,043;7,8;0,15;0,15;;7,3;0,011;1,3;6,4;9,9;2,7;67,5;232,00;0,022;24,00;16,00;;;;;;;1,7;6,4;0,044;9,5;0,13;7,3;0,013;6,2;79,5;232,00;;21,00;0,16;1,3;9,6;2,4;0,024;24,00;16,00;220,00;;;;;;;1,7;7,3;21,00;0,041;10,00;0,14;0,15;7,2;0,012;1,29;6,00;9,9;2,5;83,2;232,00;0,023;24,00;15,00;;;;;;;1,7;6,00;22,00;0,04;8,6;0,13;0,15;7,2;0,011;1,29;6,4;9,9;2,7;71,9;230,00;24,00;15,00;0,022;1,8;7,2;22,00;0,041;7,5;0,13;0,14;7,2;0,012;1,27;6,4;9,9;2,9;69,8;232,00;0,024;24,00;15,00;;;;;;;Geprueft
"2010-11-23 10:30:00";2,00;;2,3;6,9;21,00;0,083;9,7;0,12;0,19;;7,5;0,056;1,24;5,7;16,2;3,2;83,00;223,00;0,067;23,00;14,00;;;;;;;2,3;6,5;0,077;9,2;0,18;7,7;0,053;5,7;78,00;226,00;;22,00;0,13;1,27;16,00;3,3;0,067;21,00;14,00;190,00;;;;;;;2,2;7,2;21,00;0,093;9,6;0,12;0,2;7,7;0,057;1,23;5,6;16,3;3,2;81,00;223,00;0,068;22,00;14,00;;;;;;;2,3;8,00;21,00;0,085;9,8;0,12;0,19;7,8;0,055;1,25;5,4;16,2;3,2;83,00;223,00;22,00;14,00;0,064;2,2;8,7;21,00;0,083;9,4;0,13;0,18;7,6;0,057;1,25;5,5;16,2;3,2;80,00;220,00;0,066;22,00;14,00;;;;;;;Geprueft
"2011-03-29 12:00:00";29,00;;2,9;;24,00;0,069;11,3;;0,15;;7,5;0;;7,1;;3,8;97,00;201,00;0,02;;18,00;;;;;;;2,8;;0,066;15,2;0,03;8,7;0,005;8,8;136,00;198,00;;16,00;;;;3,6;0,023;;18,00;120,00;;;;;;;2,8;;16,00;0,073;15,1;;0,06;8,7;0;;8,5;;3,5;134,00;198,00;0,027;;18,00;;;;;;;2,8;;16,00;0,067;14,7;;0,04;8,6;0,006;;8,5;;3,9;131,00;198,00;;18,00;0,024;2,8;;16,00;0,07;14,8;;0,04;8,6;0;;8,5;;3,6;132,00;198,00;0,024;;18,00;;;;;;;Geprueft
"2011-04-12 15:00:00";50,00;;2,4;7,1;16,00;0,056;7,5;;0,24;;7,00;0;;9,6;;3,4;69,00;204,00;0,012;;17,00;;;;;;;2,1;7,6;0,065;12,5;0,02;8,9;0;12,5;122,00;202,00;;16,00;;;;3,2;0,011;;17,00;100,00;;;;;;;2,1;7,6;16,00;0,065;12,5;;0,03;8,8;0;;12,5;;3,4;110,00;203,00;0,011;;16,00;;;;;;;2,3;7,7;16,00;0,06;9,3;;0,13;7,6;0;;11,3;;3,4;89,00;204,00;;16,00;0,01;2,2;7,5;16,00;0,059;8,1;;0,17;7,2;0;;10,4;;3,5;76,00;204,00;0,01;;17,00;;;;;;;Geprueft
"2011-05-10 12:00:00";20,00;;0,8;9,5;19,00;0,064;4,1;;0,7;;7,2;0;;11,7;;2,2;39,00;230,00;0,013;;17,00;;;;;;;1,6;7,2;0,052;11,1;0,02;9,00;0;16,9;118,00;219,00;;16,00;;;;2,3;0,01;;17,00;100,00;;;;;;;1,7;8,2;16,00;0,079;11,2;;0,04;9,00;0;;16,4;;2,4;117,00;220,00;0,001;;18,00;;;;;;;1,7;10,00;15,00;0,052;11,00;;0,03;9,00;0;;16,3;;2,5;116,00;219,00;;17,00;0,008;1,6;12,00;17,00;0,063;7,8;;0,16;8,5;0;;14,3;;2,6;79,00;223,00;0,01;;17,00;;;;;;;Geprueft
"2011-06-07 10:30:00";19,00;;0;10,00;22,00;0,34;4,5;;2,00;;7,3;0,019;;14,3;;3,3;48,00;277,00;0,05;;17,00;;;;;;;1,1;8,00;0,062;10,8;0,03;8,6;0,005;21,4;121,00;227,00;;19,00;;;;2,00;0,026;;17,00;90,00;;;;;;;1,1;9,5;20,00;0,07;7,5;;0,15;7,8;0,005;;20,3;;2,3;87,00;237,00;0,018;;17,00;;;;;;;1,2;9,2;20,00;0,06;6,00;;0,2;7,6;0;;19,4;;2,5;69,00;237,00;;17,00;0,021;0,7;8,5;20,00;0,082;3,6;;0,53;7,4;0;;17,6;;2,2;40,00;237,00;0,016;;17,00;;;;;;;Geprueft
"2011-07-05 10:15:00";44,00;;0,3;12,00;23,00;0,41;4,4;;2,4;;7,1;0,04;;14,8;;4,1;46,00;285,00;0,062;;16,00;;;;;;;0,9;11,00;0,076;9,7;0,06;8,6;0;17,6;106,00;215,00;;20,00;;;;2,1;0,02;;15,00;65,00;;;;;;;0,9;10,00;20,00;0,073;8,8;;0,1;8,5;0;;17,2;;2,1;95,00;217,00;0,024;;16,00;;;;;;;0,8;10,00;20,00;0,096;6,6;;0,48;7,4;0,006;;16,1;;2,4;70,00;227,00;;16,00;0,032;1,00;9,7;20,00;0,12;7,00;;0,43;7,6;0,006;;15,7;;2,5;74,00;227,00;0,021;;16,00;;;;;;;Geprueft
"2011-08-02 10:00:00";23,00;;0;12,00;25,00;0,38;3,5;;3,00;;7,00;0,25;;15,9;;4,1;37,00;256,00;0,23;;2,00;;;;;;;0,8;12,00;0,072;10,1;0,07;8,5;0;19,5;114,00;187,00;;16,00;;;;1,8;0,033;;7,00;90,00;;;;;;;0,9;14,00;17,00;0,089;5,9;;0,3;7,5;0,006;;17,5;;2,4;64,00;197,00;0,035;;3,00;;;;;;;1,1;12,00;19,00;0,12;6,4;;0,29;7,4;0,014;;16,5;;2,4;68,00;195,00;;4,00;0,033;1,2;12,00;19,00;0,13;5,7;;0,38;7,3;0,017;;16,2;;2,6;60,00;197,00;0,039;;5,00;;;;;;;Geprueft
"2011-08-30 10:00:00";47,00;;0;13,00;24,00;0,62;2,3;;3,8;;6,9;0,063;;15,4;;4,8;24,00;267,00;0,19;;2,00;;;;;;;0,4;13,00;0,094;8,3;0;8,8;0,006;19,3;93,00;195,00;;20,00;;;;2,00;0,031;;7,00;60,00;;;;;;;0,4;13,00;20,00;0,1;7,6;;0,11;8,8;0;;18,9;;2,3;86,00;197,00;0,029;;3,00;;;;;;;0,7;12,00;22,00;0,1;5,2;;0,33;7,8;0;;18,4;;2,5;58,00;205,00;;4,00;0,025;0,4;12,00;19,00;0,11;2,8;;0,76;7,00;0,006;;17,6;;2,6;30,00;201,00;0,059;;5,00;;;;;;;Geprueft
"2011-09-27 10:20:00";69,00;;0,2;15,00;26,00;0,28;2,4;;3,9;;7,00;0,058;;14,9;;5,9;24,00;245,00;0,066;;15,00;;;;;;;0,2;13,00;0,14;17,4;0;9,3;0,007;17,2;190,00;207,00;;22,00;;;;2,1;0,031;;16,00;40,00;;;;;;;0,3;12,00;23,00;0,11;9,5;;0,06;8,4;0;;16,1;;2,00;100,00;211,00;0,02;;16,00;;;;;;;0,6;10,00;23,00;0,11;7,00;;0,3;7,9;0;;15,6;;2,1;72,00;217,00;;16,00;0,023;0,7;9,3;23,00;0,11;4,8;;0,5;7,7;0;;15,3;;2,3;49,00;225,00;0,018;;16,00;;;;;;;Geprueft
"2011-10-25 11:00:00";32,00;;1,2;11,00;22,00;0,077;9,4;;0,2;;7,4;0,009;;8,2;;2,1;84,00;211,00;0,031;;14,00;;;;;;;1,3;9,5;0,075;9,3;0,17;7,8;0,009;8,3;83,00;217,00;;21,00;;;;2,1;0,033;;14,00;90,00;;;;;;;1,3;11,00;21,00;0,087;9,6;;0,22;7,7;0,011;;8,2;;2,1;86,00;211,00;0,046;;14,00;;;;;;;1,3;9,8;21,00;0,066;9,6;;0,2;7,7;0,009;;8,2;;2,2;86,00;211,00;;14,00;0,031;1,3;11,00;21,00;0,078;9,6;;0,2;7,6;0,009;;8,2;;2,3;86,00;211,00;0,028;;15,00;;;;;;;Geprueft
"2012-05-08 09:50:00";29,00;;1,6;8,3;15,00;0,06;6,00;;0,58;;7,3;0;;8,6;;2,9;57,00;208,00;0,015;;18,00;;;;;;;1,8;7,00;0,044;12,6;0;8,9;0;17,4;137,00;206,00;;14,00;;;;2,4;0,014;;17,00;110,00;;;;;;;1,8;9,4;14,00;0,062;11,6;;0,04;9,1;0;;16,3;;2,7;125,00;206,00;0,015;;17,00;;;;;;;1,8;8,6;14,00;0,061;11,00;;0,06;8,9;0;;16,00;;2,6;117,00;208,00;;17,00;0,019;2,00;8,2;15,00;0,058;9,4;;0,19;7,6;0;;12,1;;2,9;93,00;200,00;0,018;;17,00;;;;;;;Geprueft
"2012-06-04 10:15:00";20,00;;0;8,9;20,00;0,14;4,7;;1,7;;7,1;0,006;;11,4;;2,9;46,00;241,00;0,016;;17,00;;;;;;;1,2;8,4;0,12;7,6;0,13;8,4;0,019;18,7;85,00;221,00;;17,00;;;;2,4;0,047;;18,00;70,00;;;;;;;1,2;7,9;17,00;0,12;7,5;;0,15;8,3;0,023;;18,4;;2,4;84,00;221,00;0,048;;17,00;;;;;;;1,2;11,00;18,00;0,12;7,3;;0,17;8,1;0,023;;18,2;;2,4;80,00;221,00;;18,00;0,043;0,9;7,5;18,00;0,11;4,7;;0,45;7,6;0,017;;16,2;;2,4;50,00;221,00;0,034;;18,00;;;;;;;Geprueft
"2012-07-03 10:30:00";;;0,2;9,1;22,00;0,18;4,5;;2,2;;6,9;0,01;;13,5;;3,4;47,00;253,00;0,032;;17,00;;;;;;;1,00;14,00;0,13;12,8;0,08;8,9;0,009;23,00;156,00;208,00;;19,00;;;;3,00;0,05;;15,00;70,00;;;;;;;1,1;12,00;20,00;0,12;10,7;;0,14;8,8;0,007;;22,8;;2,8;129,00;209,00;0,045;;16,00;;;;;;;1,2;11,00;20,00;0,13;5,4;;0,39;7,5;0,009;;20,8;;2,7;63,00;220,00;;15,00;0,042;1,3;11,00;20,00;0,11;4,4;;0,47;7,2;0,014;;18,2;;2,6;49,00;224,00;0,047;;15,00;;;;;;;Geprueft
"2012-07-31 10:30:00";20,00;;0;12,00;21,00;0,43;1,5;;3,1;;6,8;0,092;;15,3;;4,3;15,00;257,00;0,12;;14,00;;;;;;;0,9;12,00;0,09;12,9;0,02;8,9;0,014;22,6;156,00;194,00;;12,00;;;;2,1;0,034;;13,00;80,00;;;;;;;1,2;11,00;14,00;0,12;8,1;;0,11;8,00;0,015;;21,3;;2,3;94,00;201,00;0,035;;13,00;;;;;;;1,3;11,00;13,00;0,14;4,8;;0,21;7,00;0,049;;19,5;;2,4;54,00;203,00;;13,00;0,07;1,1;10,00;13,00;0,13;1,3;;0,51;7,00;0,044;;18,3;;2,4;14,00;203,00;0,063;;13,00;;;;;;;Geprueft
"2012-09-04 00:00:00";65,00;;0,3;13,00;19,00;0,42;2,6;;2,9;;7,00;0,075;;16,2;;4,8;28,00;261,00;0,12;;13,00;;;;;;;0,9;13,00;0,12;12,8;0;8,7;0,007;18,7;143,00;196,00;;6,00;;;;2,3;0,028;;13,00;70,00;;;;;;;1,00;14,00;6,1;0,11;10,00;;0,03;8,6;0;;18,4;;2,3;111,00;198,00;0,02;;13,00;;;;;;;1,1;15,00;14,00;0,14;4,8;;0,49;7,4;0,03;;17,2;;2,8;52,00;198,00;;11,00;0,056;1,2;14,00;15,00;0,15;4,5;;0,53;7,2;0,033;;16,3;;3,00;48,00;201,00;0,063;;11,00;;;;;;;Geprueft
"2012-09-25 00:00:00";20,00;;0,8;10,00;15,00;0,097;6,00;;0,89;;7,4;0,007;;14,00;;2,8;63,00;230,00;0,029;;15,00;;;;;;;0,8;9,00;0,065;7,2;0,27;8,00;0,005;14,5;74,00;219,00;;12,00;;;;1,9;0,021;;15,00;80,00;;;;;;;0,8;9,3;12,00;0,069;8,2;;0,25;8,00;0,005;;14,3;;2,1;85,00;218,00;0,017;;15,00;;;;;;;0,8;9,2;12,00;0,069;8,3;;0,25;8,00;0,005;;14,2;;2,00;86,00;217,00;;15,00;0,017;0,8;9,3;12,00;0,064;7,4;;0,25;8,00;0,005;;14,1;;2,00;80,00;217,00;0,017;;15,00;;;;;;;Geprueft
