Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"05.02.2019 14:50"
Zeitbezug:;MEZ
Messstellen-Name:;"Tiefste Stelle"
Messstellen-Nr.:;2006
Gewässer:;"Hofstaetter See"
"Rechtswert:  4513204.00";"Hochwert:  5307106.00";"EPSG 31468"

Datum;"Chloroph [µg/l] (-7.0 m ü. Grund)";"pH-Wert (vor Ort) [-] (-7.0 m ü. Grund)";"pH-Wert (vor Ort) [-] (-1.0 m ü. Grund)";"Wassertemp.(vor Ort) [°C] (-1.0 m ü. Grund)";"NH4-N [mg/l] (-1.0 m ü. Grund)";"N-ges. [mg/l] (-1.0 m ü. Grund)";"LF (20 °C) vor Ort [µS/cm] (-1.0 m ü. Grund)";"P-ges. gelöst [mg/l] (-1.0 m ü. Grund)";"Chlorid [mg/l] (-1.0 m ü. Grund)";"SiO2 [mg/l] (-1.0 m ü. Grund)";"o-PO4-P [mg/l] (-1.0 m ü. Grund)";"O2-gelöst [mg/l] (-1.0 m ü. Grund)";"P-ges. [mg/l] (-1.0 m ü. Grund)";"NO3-N [mg/l] (-1.0 m ü. Grund)";"KS 4,3 [mmol/l] (-1.0 m ü. Grund)";"O2-Sättigungsindex [%] (-1.0 m ü. Grund)";"K gelöst [mg/l] (-1.0 m ü. Grund)";"Mn gelöst [mg/l] (-1.0 m ü. Grund)";"Fe gelöst [mg/l] (-1.0 m ü. Grund)";"SO4 [mg/l] (-1.0 m ü. Grund)";"Ca gelöst [mg/l] (-1.0 m ü. Grund)";"Na gelöst [mg/l] (-1.0 m ü. Grund)";"Mg gelöst [mg/l] (-1.0 m ü. Grund)";"NO3-N [mg/l] (0.0 m Tiefe)";"P-ges. [mg/l] (0.0 m Tiefe)";"NH4-N [mg/l] (0.0 m Tiefe)";"Sichttiefe [cm] (0.0 m Tiefe)";"pH-Wert (vor Ort) [-] (0.0 m Tiefe)";"o-PO4-P [mg/l] (0.0 m Tiefe)";"Wassertemp.(vor Ort) [°C] (0.0 m Tiefe)";"N-ges. [mg/l] (0.0 m Tiefe)";"LF (20 °C) vor Ort [µS/cm] (0.0 m Tiefe)";"P-ges. gelöst [mg/l] (0.0 m Tiefe)";"SiO2 [mg/l] (0.0 m Tiefe)";"O2-gelöst [mg/l] (0.0 m Tiefe)";"Chlorid [mg/l] (0.0 m Tiefe)";"Ca gelöst [mg/l] (0.0 m Tiefe)";"KS 4,3 [mmol/l] (0.0 m Tiefe)";"SO4 [mg/l] (0.0 m Tiefe)";"Fe gelöst [mg/l] (0.0 m Tiefe)";"Mn gelöst [mg/l] (0.0 m Tiefe)";"K gelöst [mg/l] (0.0 m Tiefe)";"Na gelöst [mg/l] (0.0 m Tiefe)";"O2-Sättigungsindex [%] (0.0 m Tiefe)";"Mg gelöst [mg/l] (0.0 m Tiefe)";"SiO2 [mg/l] (2.0 m Tiefe)";"O2-gelöst [mg/l] (2.0 m Tiefe)";"NH4-N [mg/l] (2.0 m Tiefe)";"Sichttiefe [cm] (2.0 m Tiefe)";"pH-Wert (vor Ort) [-] (2.0 m Tiefe)";"o-PO4-P [mg/l] (2.0 m Tiefe)";"Wassertemp.(vor Ort) [°C] (2.0 m Tiefe)";"N-ges. [mg/l] (2.0 m Tiefe)";"LF (20 °C) vor Ort [µS/cm] (2.0 m Tiefe)";"P-ges. gelöst [mg/l] (2.0 m Tiefe)";"P-ges. [mg/l] (2.0 m Tiefe)";"NO3-N [mg/l] (2.0 m Tiefe)";"Chlorid [mg/l] (2.0 m Tiefe)";"O2-Sättigungsindex [%] (2.0 m Tiefe)";"Na gelöst [mg/l] (2.0 m Tiefe)";"Mg gelöst [mg/l] (2.0 m Tiefe)";"Ca gelöst [mg/l] (2.0 m Tiefe)";"Fe gelöst [mg/l] (2.0 m Tiefe)";"Mn gelöst [mg/l] (2.0 m Tiefe)";"K gelöst [mg/l] (2.0 m Tiefe)";"KS 4,3 [mmol/l] (2.0 m Tiefe)";"SO4 [mg/l] (2.0 m Tiefe)";Prüfstatus
"2011-08-01 00:00:00";;;8,9;19,5;0,03;0,9;106,00;0,023;4,00;0,8;0,009;10,4;0,033;0,04;;;;;;;;;;0,03;0,025;0,02;275,00;9,4;0,012;20,1;1,1;107,00;0,023;0,7;12,4;4,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Geprueft
"2011-09-21 00:00:00";41,4;;8,7;14,8;0,03;1,6;102,00;0,008;3,4;1,00;0;9,2;0,028;0,04;;;;;;;;;;0,04;0,025;0,03;;8,8;0;14,4;1,4;104,00;0,008;0,9;9,6;3,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Geprueft
"2011-09-27 00:00:00";28,4;8,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Geprueft
"2011-11-14 00:00:00";9,2;7,8;7,7;6,1;0,25;;97,00;0,005;3,8;;0;8,00;0,031;0,04;;;;;;;;;;0,08;0,02;0,16;;7,8;0;6,5;;98,00;0,007;;9,8;3,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Geprueft
"2016-04-05 13:05:00";;;;;;;;;;;;;;;;;;;;;;;;0,13;0,029;0,28;170,00;8,3;0;18,1;1,3;96,00;0,011;;10,5;4,00;12,4;1,34;1,7;0,0359;0,00116;1,49;2,56;115,00;3,51;;10,8;0,28;;8,3;0;15,8;1,2;95,00;0,016;0,021;0,13;3,8;121,00;2,51;3,49;12,1;0,0369;0,00129;1,13;1,2;1,6;Geprueft
"2016-06-14 11:00:00";;;;;;;;;;;;;;;;;;;;;;;;0;0,021;0,07;160,00;7,3;0;21,00;1,00;95,00;0,008;;13,3;3,8;13,4;1,04;1,7;0,0381;0;1,05;2,68;158,00;3,69;;12,3;0,11;;7,4;0;21,00;1,1;96,00;0,006;0,02;0;3,9;150,00;2,74;3,82;13,5;0,045;0;1,1;1,05;1,7;Geprueft
"2016-07-13 09:20:00";;;;;;;;;;;;;;;;;;;;;;;;0;0,029;0,2;140,00;7,4;0;24,1;1,2;103,00;0,015;;7,2;4,7;14,00;1,04;1,3;0,115;0,00612;2,73;2,83;90,00;3,87;;6,9;0,19;;7,3;0;24,2;1,3;100,00;0,007;0,028;0;3,9;86,00;2,78;3,89;14,00;0,116;0,00763;1,24;1,02;1,2;Geprueft
"2016-07-26 10:00:00";;;;;;;;;;;;;;;;;;;;;;;;0;0,021;0,05;160,00;8,1;0,006;25,2;0,9;102,00;0,019;;9,2;4,7;13,3;0,99;1,1;0,0609;0;2,38;2,68;117,00;3,65;;8,6;0,12;;7,6;0,008;24,9;1,1;98,00;0,011;0,026;0;3,9;109,00;2,68;3,66;13,3;0,0897;0,00453;1,09;0,97;1,1;Geprueft
"2016-08-10 10:00:00";;;7,5;21,1;0,13;1,4;98,00;0,011;3,6;;0;8,00;0,036;0;1,03;93,00;1,17;0,00319;0,0733;1,00;13,7;2,69;3,82;0;0,033;0,16;110,00;7,5;0;20,9;1,2;108,00;0,005;;7,8;6,00;13,6;1,02;1,1;0,0753;0,00306;3,55;3,1;85,00;3,82;;;;;;;;;;;;;;;;;;;;;;;Geprueft
"2016-09-21 10:00:00";;;;;;;;;;;;;;;;;;;;;;;;0;0,032;0,05;92,00;7,4;0,006;16,00;0,9;105,00;0,02;;8,2;3,8;14,6;1,48;0,8;0,0446;0,00257;1,22;2,86;88,00;4,14;;8,1;0,03;;7,5;0,009;16,00;0,6;98,00;0,019;0,021;0;3,8;87,00;2,84;4,00;14,3;0,0383;0,00177;1,21;1,48;0,8;Geprueft
"2016-10-26 14:00:00";;;7,7;11,6;0,22;0,9;101,00;0,009;3,9;;0,005;7,6;0,019;0;1,1;73,00;1,28;0,00354;0,0355;0,8;14,6;2,94;4,11;0;0,02;0,18;190,00;7,6;0;12,5;0,8;104,00;0,014;;8,00;6,00;14,6;1,1;0,8;0,0292;0,0019;4,2;2,95;79,00;4,08;;;;;;;;;;;;;;;;;;;;;;;Geprueft
"2016-11-14 13:50:00";;;8,1;4,9;0,24;1,5;102,00;0;3,9;;0;12,00;0,014;0;1,00;99,00;1,19;0,00234;0,0368;0,8;13,8;2,7;3,9;0;0,011;0,23;150,00;8,6;0;5,2;1,5;101,00;0;;11,2;4,4;13,6;1,00;0,9;0,0377;0,00236;1,16;2,75;92,00;3,86;;;0,24;;;0;;1,5;;;;0;3,9;;2,68;3,88;13,7;0,0366;0,00231;1,22;;0,8;Geprueft
"2016-12-06 11:00:00";;;8,2;2,2;0,34;1,00;104,00;0;3,6;;0;12,3;0,012;0,05;1,1;93,00;1,23;0,00362;0,053;0,8;14,2;2,78;3,99;0,05;0,014;0,36;190,00;8,3;0;1,9;1,00;123,00;0;;12,1;3,6;14,6;1,1;0,8;0,064;0,00374;1,26;2,83;92,00;4,14;;;;;;;;;;;;;;;;;;;;;;;Geprueft
